			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
PDE6A	2.0	mix_3	15.864	(14.038, 16.568)	3.614	(3.296, 3.91)	11.009	(0.073, 33.645)	2.725	(0.008, 8.809)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.581	(0.241, 0.698)	0.681	(0.3, 1.0)	0.728	(0.327, 1.0)	0.776	(0.708, 1.0)	0.819	(0.769, 1.0)	0.848	(0.796, 1.0)	0.872	(0.818, 1.0)	0.895	(0.835, 1.0)	0.92	(0.855, 1.0)	0.952	(0.884, 1.0)
PDE6A	2.0	mix_4	11.668	(11.154, 12.387)	3.65	(3.321, 3.983)	1.969	(1.663, 2.402)	2.187	(1.735, 2.828)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.122	(0.103, 0.146)	0.224	(0.204, 0.248)	0.302	(0.28, 0.321)	0.371	(0.347, 0.394)	0.438	(0.406, 0.465)	0.503	(0.465, 0.538)	0.571	(0.527, 0.608)	0.643	(0.593, 0.685)	0.727	(0.673, 0.772)	0.841	(0.791, 0.883)
PDE6A	2.0	mix_5	14.813	(14.064, 15.571)	3.603	(3.361, 3.958)	4.381	(3.239, 5.965)	1.888	(1.251, 2.677)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.383	(0.336, 0.425)	0.51	(0.473, 0.539)	0.587	(0.557, 0.619)	0.648	(0.619, 0.681)	0.699	(0.668, 0.736)	0.746	(0.711, 0.784)	0.791	(0.752, 0.829)	0.835	(0.795, 0.872)	0.881	(0.843, 0.917)	0.938	(0.905, 0.967)
PDE6A	4.0	mix_1	8.46	(8.086, 8.859)	3.759	(3.398, 4.112)	3.21	(2.631, 4.172)	11.954	(9.476, 15.396)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.068	(0.057, 0.083)	0.107	(0.094, 0.121)	0.135	(0.121, 0.149)	0.161	(0.148, 0.176)	0.186	(0.174, 0.2)	0.212	(0.2, 0.226)	0.241	(0.224, 0.256)	0.275	(0.255, 0.293)	0.32	(0.297, 0.344)	0.4	(0.372, 0.435)
PDE6A	4.0	mix_2	12.681	(12.039, 13.293)	3.824	(3.48, 4.142)	7.822	(5.83, 11.654)	7.396	(5.287, 11.391)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.306	(0.277, 0.342)	0.38	(0.354, 0.404)	0.427	(0.404, 0.446)	0.465	(0.443, 0.484)	0.499	(0.477, 0.52)	0.532	(0.512, 0.555)	0.567	(0.539, 0.593)	0.604	(0.572, 0.634)	0.65	(0.612, 0.684)	0.721	(0.674, 0.762)
PDE6A	4.0	mix_3	16.593	(15.873, 17.432)	3.772	(3.439, 4.086)	5.457	(1.943, 8.128)	1.266	(0.303, 2.181)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.538	(0.486, 0.599)	0.674	(0.621, 0.869)	0.742	(0.69, 0.905)	0.792	(0.737, 0.932)	0.832	(0.779, 0.952)	0.867	(0.816, 0.967)	0.897	(0.85, 0.979)	0.926	(0.88, 0.988)	0.952	(0.912, 0.995)	0.98	(0.952, 0.999)
PDE6A	4.0	mix_4	12.173	(11.581, 12.629)	3.811	(3.497, 4.111)	1.846	(1.607, 2.159)	1.996	(1.641, 2.412)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.117	(0.1, 0.136)	0.221	(0.202, 0.246)	0.302	(0.282, 0.326)	0.374	(0.35, 0.4)	0.444	(0.414, 0.474)	0.512	(0.479, 0.544)	0.582	(0.547, 0.616)	0.657	(0.618, 0.695)	0.743	(0.701, 0.78)	0.857	(0.819, 0.89)
PDE6A	4.0	mix_5	15.344	(14.546, 16.229)	3.788	(3.453, 4.199)	3.496	(2.741, 4.293)	1.438	(1.02, 1.849)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.356	(0.319, 0.394)	0.5	(0.471, 0.533)	0.588	(0.559, 0.622)	0.656	(0.625, 0.698)	0.714	(0.679, 0.761)	0.766	(0.731, 0.815)	0.814	(0.779, 0.863)	0.861	(0.826, 0.907)	0.907	(0.876, 0.946)	0.959	(0.937, 0.982)
PDE6A	8.0	mix_1	8.337	(7.934, 8.766)	3.803	(3.45, 4.097)	2.723	(2.223, 3.426)	9.322	(7.339, 12.444)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.064	(0.054, 0.078)	0.106	(0.096, 0.119)	0.138	(0.128, 0.15)	0.167	(0.158, 0.178)	0.196	(0.186, 0.207)	0.226	(0.217, 0.239)	0.26	(0.247, 0.275)	0.299	(0.279, 0.317)	0.351	(0.322, 0.373)	0.443	(0.399, 0.474)
PDE6A	8.0	mix_2	12.63	(12.091, 13.139)	3.871	(3.547, 4.17)	6.028	(4.605, 8.179)	5.205	(3.744, 7.313)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.297	(0.272, 0.325)	0.382	(0.361, 0.406)	0.437	(0.417, 0.46)	0.481	(0.461, 0.503)	0.521	(0.5, 0.546)	0.56	(0.537, 0.588)	0.599	(0.572, 0.633)	0.642	(0.609, 0.682)	0.693	(0.652, 0.738)	0.771	(0.722, 0.818)
PDE6A	8.0	mix_3	16.658	(15.979, 17.586)	3.789	(3.427, 4.11)	4.719	(1.757, 7.388)	1.008	(0.277, 1.766)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.53	(0.477, 0.601)	0.679	(0.622, 0.874)	0.754	(0.702, 0.916)	0.807	(0.759, 0.94)	0.849	(0.804, 0.957)	0.885	(0.84, 0.97)	0.915	(0.872, 0.982)	0.942	(0.904, 0.99)	0.966	(0.935, 0.996)	0.988	(0.968, 1.0)
PDE6A	8.0	mix_4	12.088	(11.493, 12.625)	3.8	(3.419, 4.193)	1.73	(1.515, 1.963)	1.733	(1.396, 2.072)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.116	(0.096, 0.137)	0.226	(0.204, 0.25)	0.313	(0.291, 0.339)	0.39	(0.363, 0.415)	0.464	(0.433, 0.493)	0.537	(0.5, 0.57)	0.61	(0.569, 0.647)	0.688	(0.644, 0.729)	0.774	(0.73, 0.817)	0.884	(0.847, 0.919)
PDE6A	8.0	mix_5	15.349	(14.642, 16.163)	3.817	(3.473, 4.139)	3.363	(2.646, 4.358)	1.299	(0.889, 1.857)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.361	(0.322, 0.402)	0.509	(0.477, 0.543)	0.6	(0.571, 0.634)	0.671	(0.64, 0.706)	0.73	(0.693, 0.768)	0.782	(0.743, 0.826)	0.83	(0.789, 0.874)	0.875	(0.834, 0.916)	0.92	(0.881, 0.953)	0.967	(0.939, 0.987)
SEMA3D	1.0	mix_1	6.56	(6.166, 6.888)	2.913	(2.638, 3.165)	4.117	(2.715, 6.781)	16.474	(10.644, 27.963)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.075	(0.056, 0.097)	0.11	(0.093, 0.13)	0.135	(0.12, 0.152)	0.157	(0.144, 0.17)	0.179	(0.166, 0.191)	0.201	(0.187, 0.213)	0.226	(0.211, 0.239)	0.255	(0.235, 0.271)	0.293	(0.264, 0.315)	0.361	(0.314, 0.397)
SEMA3D	1.0	mix_2	9.783	(9.442, 10.295)	2.916	(2.632, 3.189)	24.181	(8.657, 99.0)	24.293	(8.784, 97.369)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.365	(0.311, 0.45)	0.414	(0.376, 0.472)	0.444	(0.413, 0.486)	0.468	(0.443, 0.502)	0.489	(0.468, 0.524)	0.51	(0.484, 0.55)	0.532	(0.498, 0.574)	0.556	(0.513, 0.604)	0.586	(0.532, 0.641)	0.634	(0.56, 0.701)
SEMA3D	1.0	mix_3	12.951	(12.181, 13.602)	2.926	(2.692, 3.17)	30.071	(0.029, 99.0)	7.541	(0.006, 25.916)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.625	(0.0, 0.757)	0.712	(0.613, 1.0)	0.751	(0.698, 1.0)	0.781	(0.732, 1.0)	0.805	(0.758, 1.0)	0.83	(0.775, 1.0)	0.851	(0.793, 1.0)	0.869	(0.807, 1.0)	0.89	(0.823, 1.0)	0.918	(0.843, 1.0)
SEMA3D	1.0	mix_4	9.455	(8.983, 9.995)	2.913	(2.597, 3.167)	2.07	(1.703, 2.515)	2.381	(1.94, 3.093)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.125	(0.101, 0.149)	0.224	(0.2, 0.248)	0.299	(0.278, 0.321)	0.365	(0.343, 0.387)	0.429	(0.406, 0.453)	0.492	(0.465, 0.517)	0.557	(0.524, 0.586)	0.627	(0.587, 0.661)	0.71	(0.663, 0.747)	0.825	(0.776, 0.86)
SEMA3D	1.0	mix_5	11.953	(11.37, 12.47)	2.903	(2.66, 3.17)	5.101	(3.647, 7.902)	2.224	(1.472, 3.872)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.401	(0.348, 0.457)	0.52	(0.478, 0.566)	0.591	(0.55, 0.631)	0.647	(0.609, 0.682)	0.695	(0.65, 0.731)	0.739	(0.689, 0.779)	0.781	(0.73, 0.823)	0.823	(0.773, 0.867)	0.868	(0.815, 0.911)	0.926	(0.879, 0.96)
SEMA3D	2.0	mix_1	6.885	(6.502, 7.178)	3.133	(2.806, 3.47)	3.725	(2.817, 5.061)	14.699	(11.176, 21.09)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.072	(0.058, 0.089)	0.108	(0.094, 0.124)	0.134	(0.12, 0.146)	0.157	(0.144, 0.17)	0.18	(0.166, 0.194)	0.203	(0.19, 0.218)	0.229	(0.215, 0.247)	0.259	(0.243, 0.28)	0.299	(0.276, 0.324)	0.371	(0.334, 0.406)
SEMA3D	2.0	mix_2	10.332	(9.885, 11.015)	3.169	(2.839, 3.413)	14.903	(7.732, 29.507)	14.778	(7.422, 29.499)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.343	(0.298, 0.411)	0.401	(0.366, 0.45)	0.436	(0.409, 0.474)	0.465	(0.442, 0.496)	0.491	(0.467, 0.519)	0.516	(0.488, 0.545)	0.542	(0.51, 0.575)	0.571	(0.527, 0.611)	0.606	(0.551, 0.654)	0.663	(0.591, 0.724)
SEMA3D	2.0	mix_3	13.628	(12.703, 14.418)	3.143	(2.888, 3.435)	10.487	(1.938, 25.286)	2.609	(0.349, 6.501)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.587	(0.503, 0.691)	0.685	(0.624, 0.764)	0.735	(0.689, 0.803)	0.773	(0.725, 0.845)	0.81	(0.753, 0.881)	0.841	(0.782, 0.958)	0.867	(0.803, 0.972)	0.892	(0.829, 0.983)	0.918	(0.859, 0.992)	0.951	(0.898, 0.998)
SEMA3D	2.0	mix_4	9.923	(9.385, 10.436)	3.131	(2.84, 3.397)	1.958	(1.658, 2.302)	2.188	(1.719, 2.674)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.121	(0.1, 0.144)	0.223	(0.197, 0.247)	0.301	(0.275, 0.33)	0.37	(0.347, 0.406)	0.436	(0.41, 0.476)	0.502	(0.469, 0.546)	0.569	(0.532, 0.617)	0.642	(0.602, 0.692)	0.726	(0.681, 0.778)	0.841	(0.798, 0.886)
SEMA3D	2.0	mix_5	12.588	(11.892, 13.423)	3.167	(2.952, 3.484)	4.426	(3.447, 5.636)	1.881	(1.31, 2.631)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.387	(0.342, 0.422)	0.514	(0.475, 0.55)	0.591	(0.559, 0.629)	0.651	(0.619, 0.69)	0.702	(0.67, 0.743)	0.749	(0.713, 0.792)	0.793	(0.756, 0.836)	0.837	(0.797, 0.878)	0.883	(0.843, 0.92)	0.939	(0.905, 0.967)
SEMA3D	4.0	mix_1	7.083	(6.732, 7.439)	3.297	(3.014, 3.675)	3.22	(2.497, 4.334)	12.149	(8.916, 16.453)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.068	(0.053, 0.087)	0.106	(0.091, 0.124)	0.134	(0.12, 0.15)	0.159	(0.146, 0.175)	0.184	(0.17, 0.202)	0.21	(0.194, 0.23)	0.239	(0.219, 0.258)	0.272	(0.25, 0.293)	0.317	(0.29, 0.344)	0.397	(0.362, 0.437)
SEMA3D	4.0	mix_2	10.598	(10.084, 11.145)	3.349	(3.022, 3.75)	8.077	(5.353, 13.443)	7.726	(4.885, 13.381)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.306	(0.267, 0.357)	0.379	(0.348, 0.413)	0.425	(0.4, 0.45)	0.463	(0.439, 0.489)	0.497	(0.473, 0.527)	0.53	(0.505, 0.565)	0.564	(0.535, 0.602)	0.601	(0.565, 0.644)	0.646	(0.599, 0.694)	0.717	(0.654, 0.772)
SEMA3D	4.0	mix_3	13.946	(11.109, 14.91)	3.311	(3.006, 3.55)	6.402	(0.021, 11.666)	1.54	(0.007, 2.902)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.51	(0.0, 0.618)	0.639	(0.264, 0.714)	0.713	(0.314, 0.776)	0.761	(0.343, 0.827)	0.8	(0.363, 0.873)	0.85	(0.709, 0.909)	0.893	(0.837, 1.0)	0.921	(0.867, 1.0)	0.947	(0.899, 1.0)	0.975	(0.939, 1.0)
SEMA3D	4.0	mix_4	10.255	(9.7, 10.862)	3.273	(2.993, 3.569)	1.854	(1.603, 2.231)	2.04	(1.63, 2.635)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.116	(0.098, 0.141)	0.219	(0.197, 0.246)	0.299	(0.274, 0.325)	0.371	(0.342, 0.401)	0.439	(0.407, 0.471)	0.507	(0.468, 0.541)	0.577	(0.53, 0.615)	0.652	(0.6, 0.693)	0.737	(0.681, 0.78)	0.853	(0.798, 0.891)
SEMA3D	4.0	mix_5	12.976	(12.244, 13.7)	3.304	(3.037, 3.538)	3.685	(2.848, 4.835)	1.557	(1.023, 2.172)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.356	(0.317, 0.412)	0.499	(0.455, 0.546)	0.593	(0.548, 0.645)	0.658	(0.611, 0.709)	0.712	(0.667, 0.763)	0.762	(0.716, 0.813)	0.808	(0.764, 0.859)	0.853	(0.81, 0.901)	0.899	(0.858, 0.942)	0.952	(0.921, 0.981)
SEMA3D	8.0	mix_1	6.994	(6.574, 7.327)	3.333	(3.02, 3.687)	2.657	(2.016, 3.314)	9.306	(6.65, 11.752)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.062	(0.049, 0.075)	0.103	(0.088, 0.116)	0.134	(0.119, 0.147)	0.163	(0.148, 0.177)	0.192	(0.178, 0.208)	0.222	(0.207, 0.239)	0.255	(0.24, 0.275)	0.295	(0.275, 0.321)	0.347	(0.321, 0.382)	0.439	(0.4, 0.492)
SEMA3D	8.0	mix_2	10.601	(10.069, 11.169)	3.383	(3.123, 3.691)	6.183	(3.984, 9.139)	5.547	(3.464, 8.442)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.291	(0.248, 0.33)	0.375	(0.341, 0.404)	0.428	(0.396, 0.455)	0.471	(0.441, 0.5)	0.511	(0.483, 0.541)	0.549	(0.521, 0.581)	0.588	(0.557, 0.625)	0.63	(0.595, 0.673)	0.681	(0.641, 0.733)	0.759	(0.71, 0.822)
SEMA3D	8.0	mix_3	14.083	(13.164, 14.869)	3.349	(3.104, 3.591)	4.795	(0.129, 8.607)	1.098	(0.007, 2.219)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.513	(0.451, 0.596)	0.659	(0.602, 0.994)	0.735	(0.677, 1.0)	0.791	(0.742, 1.0)	0.838	(0.783, 1.0)	0.877	(0.823, 1.0)	0.907	(0.855, 1.0)	0.935	(0.882, 1.0)	0.96	(0.914, 1.0)	0.984	(0.954, 1.0)
SEMA3D	8.0	mix_4	10.149	(9.63, 10.612)	3.323	(2.984, 3.652)	1.735	(1.476, 2.023)	1.781	(1.426, 2.121)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.114	(0.095, 0.137)	0.222	(0.197, 0.248)	0.307	(0.281, 0.332)	0.384	(0.355, 0.412)	0.457	(0.424, 0.487)	0.529	(0.492, 0.563)	0.602	(0.562, 0.642)	0.68	(0.637, 0.723)	0.766	(0.724, 0.81)	0.878	(0.842, 0.913)
SEMA3D	8.0	mix_5	12.942	(12.322, 13.703)	3.324	(3.051, 3.571)	3.25	(2.404, 4.181)	1.296	(0.926, 1.747)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.349	(0.301, 0.398)	0.504	(0.462, 0.546)	0.6	(0.561, 0.656)	0.669	(0.633, 0.725)	0.727	(0.69, 0.782)	0.779	(0.742, 0.83)	0.827	(0.788, 0.873)	0.873	(0.836, 0.913)	0.918	(0.886, 0.95)	0.965	(0.943, 0.985)
STRIP1	1.0	mix_1	7.079	(6.705, 7.369)	3.379	(2.961, 3.777)	4.081	(3.014, 5.983)	16.225	(11.285, 24.106)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.064, 0.093)	0.111	(0.1, 0.127)	0.136	(0.125, 0.15)	0.158	(0.148, 0.17)	0.18	(0.17, 0.191)	0.202	(0.192, 0.214)	0.227	(0.215, 0.24)	0.256	(0.241, 0.272)	0.294	(0.271, 0.316)	0.362	(0.327, 0.398)
STRIP1	1.0	mix_2	10.306	(9.857, 10.701)	3.357	(2.991, 3.787)	20.815	(9.471, 52.771)	20.888	(8.987, 53.828)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.361	(0.312, 0.426)	0.411	(0.375, 0.456)	0.442	(0.414, 0.476)	0.467	(0.443, 0.495)	0.489	(0.466, 0.515)	0.511	(0.49, 0.54)	0.533	(0.509, 0.567)	0.558	(0.524, 0.599)	0.589	(0.54, 0.639)	0.639	(0.569, 0.702)
STRIP1	1.0	mix_3	13.533	(12.729, 14.176)	3.398	(3.113, 3.671)	29.46	(0.073, 99.0)	7.526	(0.007, 26.471)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.626	(0.244, 0.756)	0.698	(0.61, 0.789)	0.743	(0.7, 0.806)	0.773	(0.738, 0.913)	0.802	(0.762, 0.926)	0.826	(0.777, 1.0)	0.845	(0.788, 1.0)	0.865	(0.801, 1.0)	0.887	(0.819, 1.0)	0.917	(0.843, 1.0)
